CPU_Frequency (GHz),RAM (GB),Memory,Weight (kg),Price (Euro),Laptop_ID
2.5,6,128GB SSD,1.91,568.9,559
2.0,4,1TB HDD,2.18,617.9,560
2.0,4,32GB Flash Storage,1.25,349.0,561
2.7,4,128GB SSD,2.05,630.0,562
1.2,16,512GB SSD,1.16,1965.0,563
2.8,8,256GB SSD,3.4,2999.0,564
2.5,8,128GB SSD +  1TB HDD,2.5,839.0,565
1.6,8,128GB SSD,1.21,1599.0,566
2.6,4,500GB HDD,1.93,959.0,567
2.5,8,1TB HDD,2.2,739.0,568
1.1,4,500GB HDD,2.2,344.0,569
2.5,4,500GB HDD,2.02,990.0,570
2.8,8,500GB HDD,3.14,1860.99,571
1.6,8,2TB HDD,1.94,389.0,572
3.0,6,256GB SSD,1.95,649.0,573
2.5,8,256GB SSD,2.3,830.0,574
1.6,4,500GB HDD,2.05,685.0,575
1.44,4,32GB SSD,1.4,249.0,576
2.7,16,512GB SSD,1.24,1865.0,577
2.7,32,256GB SSD +  1TB HDD,4.6,2663.0,578
2.9,16,512GB SSD +  1TB HDD,4.14,2729.0,579
2.7,8,256GB SSD,2.2,749.01,580
1.1,4,32GB SSD,1.45,389.0,581
2.6,8,500GB HDD,1.9,1008.52,582
2.4,4,128GB SSD,1.49,719.0,583
2.8,16,256GB SSD,1.93,1537.39,584
1.6,4,16GB Flash Storage,1.26,295.0,585
2.7,16,128GB SSD +  1TB HDD,4.5,2349.0,586
2.8,16,256GB SSD +  1TB HDD,3.78,1498.0,587
2.6,12,256GB SSD,1.4,1673.0,588
1.8,12,1TB HDD,2.2,609.0,589
2.5,8,128GB SSD +  1TB HDD,2.73,1770.0,590
2.5,8,1TB HDD,2.2,739.0,591
3.6,12,512GB SSD,2.2,949.0,592
1.0,4,128GB SSD,1.39,603.0,593
2.8,16,128GB SSD +  1TB HDD,2.5,1699.0,594
2.0,4,500GB HDD,2.8,529.0,595
2.3,8,1TB HDD,2.29,459.0,596
2.7,8,512GB SSD,1.37,2025.0,597
2.5,8,256GB SSD,1.7,1474.0,598
2.5,8,256GB SSD,1.34,1670.0,599
2.8,8,256GB SSD,2.06,1763.0,600
2.7,8,256GB SSD,1.84,1219.0,601
2.4,4,500GB HDD,2.1,668.48,602
1.1,4,32GB Flash Storage,1.6,329.0,603
2.7,16,128GB SSD +  1TB HDD,4.14,2199.0,604
2.0,4,1TB HDD,2.18,465.0,605
2.8,16,256GB SSD +  2TB HDD,1.8,2299.0,606
2.5,8,256GB SSD,2.2,1399.0,607
2.5,6,1TB HDD,2.4,564.0,608
2.8,8,256GB SSD,2.0,1299.0,609
1.6,4,128GB Flash Storage,1.6,349.0,610
3.1,32,1TB SSD,2.5,4899.0,611
2.6,16,1TB HDD,2.59,879.01,612
2.0,4,1TB HDD,2.18,443.9,613
2.0,4,1TB HDD,2.25,359.0,614
2.6,4,500GB HDD,1.93,869.0,615
2.8,8,128GB SSD +  1TB HDD,3.0,1168.0,616
2.5,4,128GB SSD,2.18,569.0,617
2.7,8,512GB SSD,1.84,1389.0,618
2.8,16,256GB SSD +  1TB HDD,2.94,2267.86,619
1.6,4,32GB Flash Storage,1.25,379.0,620
2.6,8,256GB SSD,2.31,1124.0,621
2.3,8,256GB SSD,1.65,1465.0,622
1.6,4,1TB HDD,2.2,776.0,623
2.5,8,256GB SSD,2.2,799.0,624
2.3,4,500GB HDD,1.88,932.0,625
2.7,8,1TB HDD,2.2,899.0,626
1.44,2,32GB Flash Storage,1.4,239.0,627
2.5,4,128GB SSD,2.2,468.0,628
2.5,6,1TB HDD,1.5,639.01,629
2.8,8,256GB SSD,2.0,1820.0,630
2.7,16,512GB SSD,1.1,1900.0,631
2.8,16,256GB SSD +  1TB HDD,2.62,1479.0,632
1.6,4,256GB SSD,1.8,829.0,633
2.0,4,1TB HDD,2.2,579.0,634
1.1,8,1TB HDD,2.0,399.0,635
2.5,8,1TB HDD,1.99,906.62,636
1.6,8,256GB SSD,1.23,1869.0,637
1.6,2,32GB Flash Storage,1.42,249.0,638
2.7,8,256GB SSD,1.37,1757.42,639
2.8,16,1TB SSD,2.06,2399.0,640
2.8,8,128GB SSD +  1TB HDD,2.5,1109.0,641
3.0,8,1TB HDD,2.6,520.9,642
2.7,16,512GB SSD,1.14,2450.0,643
2.8,8,1TB HDD,2.5,1169.0,644
2.0,4,500GB HDD,2.4,450.0,645
1.6,4,32GB Flash Storage,1.43,274.0,646
2.5,8,256GB SSD,1.8,919.0,647
2.8,16,256GB SSD,1.95,2599.0,648
2.3,8,256GB SSD,1.2,1213.0,649
2.7,8,256GB SSD,1.36,1584.0,650
2.7,32,512GB SSD,3.8,2799.0,651
2.5,8,1TB HDD,2.4,709.0,652
1.6,8,256GB SSD,1.2,1449.9,653
2.8,8,128GB SSD +  1TB HDD,2.2,1191.8,654
2.0,4,500GB HDD,1.86,364.9,655
2.5,8,500GB HDD,2.0,1064.0,656
1.8,8,256GB SSD,2.2,919.0,657
1.8,16,256GB SSD +  2TB HDD,2.2,1135.0,658
2.6,8,128GB SSD +  1TB HDD,3.31,1196.0,659
2.8,32,512GB SSD +  1TB HDD,4.42,3147.37,660
2.4,8,256GB SSD,1.56,1229.0,661
1.1,4,500GB HDD,2.2,419.0,662
2.3,4,500GB HDD,2.2,535.0,663
2.0,6,1TB HDD,2.04,539.0,664
2.8,8,128GB SSD +  1TB HDD,2.7,1486.77,665
2.1,4,128GB SSD,2.1,498.0,666
2.5,8,1TB HDD,2.06,955.0,667
2.7,8,1TB HDD,2.1,745.0,668
2.5,8,256GB SSD,2.0,1258.0,669
2.0,4,128GB SSD,2.1,412.0,670
2.8,8,256GB SSD,1.252,1867.85,671
2.5,8,128GB SSD +  1TB HDD,1.9,817.95,672
2.5,8,256GB SSD,1.3,1034.0,673
2.2,4,128GB SSD,2.2,349.0,674
2.4,4,128GB SSD,1.63,699.0,675
2.8,16,256GB SSD +  1TB HDD,2.4,1294.0,676
2.5,8,256GB SSD,1.1,1135.0,677
1.1,8,64GB Flash Storage,1.4,495.0,678
1.8,8,512GB SSD,1.09,2299.0,679
2.5,16,256GB SSD,2.5,1299.0,680
2.5,8,256GB SSD,2.2,997.9,681
1.1,4,128GB SSD,1.86,419.0,682
2.5,16,128GB SSD +  1TB HDD,3.21,2051.0,683
2.0,4,256GB SSD,2.5,699.0,684
1.8,8,512GB SSD,1.19,1499.0,685
2.9,16,256GB SSD +  1TB HDD,3.49,2813.75,686
2.5,4,500GB HDD,1.86,612.61,687
2.0,4,1TB HDD,2.2,545.67,688
2.4,6,2TB HDD,2.65,569.0,689
1.6,4,500GB HDD,2.1,318.0,690
1.6,4,32GB Flash Storage,1.45,375.0,691
2.5,4,256GB SSD,1.7,699.0,692
2.8,8,500GB HDD,3.14,1907.99,693
2.7,8,256GB SSD,1.42,2590.0,694
2.5,8,256GB SSD,1.5,973.0,695
1.6,4,32GB Flash Storage,1.4,269.0,696
2.7,16,512GB SSD,1.38,1749.0,697
0.9,4,64GB Flash Storage,1.2,669.0,698
2.5,16,512GB SSD,1.36,1877.0,699
2.7,4,500GB HDD,2.1,689.0,700
2.5,8,1TB HDD,2.56,819.0,701
2.9,4,256GB SSD,2.2,399.0,702
3.6,8,1TB HDD,2.2,429.0,703
2.5,4,1TB HDD +  1TB HDD,2.1,621.45,704
2.0,4,500GB HDD,1.9,450.0,705
2.5,8,256GB SSD,2.18,795.0,706
1.6,8,256GB SSD,1.6,999.0,707
2.5,16,512GB SSD,2.18,1855.0,708
2.3,8,256GB SSD,1.8,1191.0,709
2.5,6,2TB HDD,2.71,655.01,710
2.8,8,128GB SSD +  1TB HDD,2.5,1249.0,711
2.8,8,256GB SSD,1.64,1089.0,712
2.5,8,1TB HDD,1.98,726.0,713
1.1,4,32GB Flash Storage,1.5,298.0,714
2.6,16,512GB SSD,1.93,1426.66,715
2.5,8,256GB SSD,1.87,857.07,716
2.6,8,256GB SSD,1.9,1179.0,717
2.0,4,500GB HDD,2.19,298.0,718
1.92,4,32GB HDD,1.4,265.0,719
2.7,8,256GB SSD,2.63,1200.0,720
2.5,8,512GB SSD,1.17,1686.64,721
2.5,8,256GB SSD,1.58,836.6,722
2.5,8,256GB SSD,1.32,1499.0,723
2.8,32,1TB SSD +  1TB HDD,4.36,3659.4,724
2.8,8,128GB SSD +  1TB HDD,2.7,1348.48,725
2.5,4,1TB HDD,1.9,489.9,726
1.6,8,128GB SSD +  1TB HDD,2.2,719.0,727
2.4,4,1TB HDD,1.71,649.0,728
2.5,8,1TB HDD,2.32,589.52,729
3.0,4,1TB HDD,2.1,489.0,730
2.6,16,128GB SSD +  1TB HDD,4.2,1935.0,731
2.5,12,1TB HDD,2.25,649.0,732
3.0,6,128GB SSD +  1TB HDD,2.1,650.0,733
2.5,4,500GB HDD,2.4,559.0,734
2.5,8,256GB SSD,1.44,960.0,735
2.7,4,1TB HDD,1.85,779.0,736
2.8,16,256GB SSD,2.6,2419.0,737
1.6,8,1TB HDD,1.55,659.0,738
2.8,16,256GB SSD +  1TB HDD,1.8,2094.48,739
2.0,4,500GB HDD,2.4,410.8,740
2.7,8,128GB SSD +  1TB HDD,2.0,1207.0,741
2.0,8,256GB SSD,2.0,665.0,742
2.5,8,256GB SSD,1.25,1535.0,743
2.5,8,256GB SSD,1.7,999.0,744
2.8,16,1TB SSD,2.5,3299.0,745
1.6,2,32GB Flash Storage,1.68,330.0,746
2.7,16,256GB SSD,0.81,1649.0,747
2.0,8,256GB SSD,1.86,539.0,748
2.5,8,256GB SSD,1.6,1126.71,749
2.9,16,256GB SSD,3.0,4389.0,750
1.6,4,128GB SSD,1.4,475.0,751
2.4,8,256GB SSD,1.84,1900.0,752
2.3,4,1TB HDD,2.45,579.0,753
2.3,4,180GB SSD,1.7,1096.0,754
2.7,4,256GB SSD,2.37,849.9,755
1.8,8,256GB SSD,1.3,1199.0,756
2.5,8,128GB SSD +  1TB HDD,2.2,1099.0,757
2.6,8,256GB SSD,2.59,1561.0,758
2.8,16,256GB SSD +  1TB HDD,4.42,2868.99,759
2.5,4,256GB SSD,2.1,599.0,760
2.8,8,128GB SSD +  1TB HDD,2.5,1048.0,761
2.8,16,256GB SSD,1.18,1859.0,762
1.2,8,256GB SSD,1.1,1559.0,763
2.5,8,256GB SSD,1.2,1129.0,764
2.0,4,500GB HDD,1.65,849.0,765
2.3,4,128GB SSD,1.6,655.0,766
1.1,4,1TB HDD,2.8,470.34,767
2.6,16,128GB SSD +  1TB HDD,2.72,1099.0,768
2.7,8,256GB SSD,1.31,1599.0,769
1.1,4,1TB HDD,2.1,298.0,770
2.7,16,256GB SSD,2.3,1181.27,771
2.7,16,256GB SSD,1.71,1799.0,772
2.3,4,128GB SSD,1.75,1020.0,773
2.8,8,1TB HDD,2.62,1099.0,774
2.3,4,256GB SSD,1.26,1244.0,775
2.7,12,2TB HDD,2.3,839.0,776
2.7,16,512GB SSD,2.5,2370.0,777
2.4,4,128GB SSD,1.8,636.0,778
2.8,16,512GB SSD,1.95,2899.0,779
1.1,8,128GB SSD,2.0,581.9,780
2.8,32,1TB SSD +  1TB HDD,4.42,3588.8,781
2.6,16,256GB SSD +  1TB HDD,4.3,2350.0,782
2.6,16,512GB SSD,1.47,1764.0,783
1.6,8,1TB HDD,2.2,329.0,784
2.7,16,512GB SSD,1.7,2299.0,785
2.8,16,256GB SSD +  1TB HDD,1.6,1891.0,786
2.5,8,128GB SSD +  1TB HDD,2.2,1089.0,787
2.8,4,1TB HDD,2.4,999.0,788
2.8,16,256GB SSD +  1TB HDD,4.2,2299.0,789
2.5,8,256GB SSD,2.62,985.0,790
2.8,8,128GB SSD +  1TB HDD,2.24,1339.0,791
1.1,4,32GB Flash Storage,1.22,202.9,792
2.7,8,512GB SSD,1.37,1970.0,793
2.5,8,256GB SSD,2.08,959.0,794
1.2,8,512GB Flash Storage,0.92,1165.0,795
2.5,8,256GB SSD,1.42,2330.0,796
1.1,4,32GB Flash Storage,1.63,299.0,797
2.5,8,128GB SSD,1.95,810.0,798
2.7,8,256GB SSD,1.38,1349.0,799
2.0,8,256GB SSD,2.0,739.0,800
2.8,8,256GB SSD,3.14,2064.9,801
2.5,8,256GB SSD,2.37,1099.0,802
2.5,8,256GB SSD,1.29,1499.0,803
2.5,8,256GB SSD,2.06,1749.0,804
1.1,4,128GB SSD,1.63,744.0,805
2.6,8,256GB SSD,1.26,1389.0,806
2.3,4,500GB HDD,2.1,780.0,807
2.5,8,2TB HDD,2.04,629.0,808
2.8,16,512GB SSD,2.62,1679.0,809
2.5,4,1TB HDD,2.4,609.0,810
2.8,12,1TB HDD,3.74,1749.0,811
2.8,16,512GB SSD +  1TB HDD,2.9,2415.0,812
2.5,8,256GB SSD,0.81,1499.0,813
2.7,8,1TB HDD,1.98,961.0,814
2.5,8,256GB SSD,2.18,789.81,815
2.7,8,256GB SSD,1.32,1859.0,816
2.5,16,512GB SSD,1.29,1799.0,817
1.6,4,16GB Flash Storage,1.23,385.0,818
2.8,16,128GB SSD +  1TB HDD,4.36,2505.02,819
2.3,4,500GB HDD,1.76,755.0,820
2.0,4,500GB HDD,2.1,489.9,821
2.5,4,128GB SSD,1.25,1090.0,822
2.7,8,512GB SSD,1.13,2499.0,823
2.5,8,256GB SSD,2.4,1199.0,824
2.5,8,256GB Flash Storage,1.13,1875.0,825
2.1,4,128GB SSD,1.75,499.0,826
2.5,8,256GB SSD,1.1,1358.0,827
2.0,4,500GB HDD,1.76,585.0,828
1.6,4,32GB Flash Storage,1.35,355.0,829
2.4,8,128GB SSD,1.5,619.0,830
2.9,32,512GB SSD,3.49,5499.0,831
2.6,16,512GB SSD,1.1,2099.0,832
2.5,4,1TB HDD,2.1,519.0,833
2.3,8,256GB SSD,1.7,1186.0,834
2.6,8,256GB SSD,1.32,1650.0,835
2.8,16,256GB SSD +  1TB HDD,3.21,2774.63,836
2.8,16,256GB SSD +  1TB HDD,2.9,2419.0,837
2.4,4,500GB HDD,2.0,669.0,838
1.6,4,16GB Flash Storage,1.5,325.0,839
2.5,8,128GB HDD,2.3,590.0,840
2.6,16,512GB SSD +  1TB HDD,2.73,1799.0,841
2.8,32,512GB SSD +  1TB HDD,4.42,3072.89,842
2.5,8,1TB HDD,2.63,910.0,843
2.5,8,128GB SSD,2.18,713.99,844
2.5,8,512GB SSD,1.54,1870.0,845
2.7,4,256GB SSD,2.18,739.0,846
1.1,4,32GB Flash Storage,1.4,615.0,847
2.3,8,512GB SSD,1.45,1026.0,848
2.5,8,256GB SSD,1.28,2277.0,849
2.5,8,512GB SSD,1.54,1468.0,850
1.6,4,128GB SSD,1.86,299.0,851
2.8,16,128GB SSD +  1TB HDD,2.1,1899.0,852
2.7,8,1TB HDD,2.83,865.0,853
2.8,8,256GB SSD,1.96,1903.0,854
2.7,8,256GB SSD,2.3,787.0,855
2.5,8,128GB SSD,1.9,945.0,856
1.1,4,1TB HDD,2.0,449.0,857
2.8,8,256GB SSD,1.28,2559.0,858
2.3,8,1TB HDD,1.62,649.0,859
2.0,4,1TB HDD,2.2,469.0,860
2.5,8,1TB HDD,2.3,850.66,861
2.6,8,256GB SSD,1.84,1349.0,862
2.5,4,128GB SSD,1.05,1285.0,863
2.5,8,1TB HDD,2.5,1017.0,864
2.5,16,512GB SSD,1.29,2240.0,865
2.3,4,500GB HDD,2.07,910.0,866
2.3,8,256GB SSD,1.2,1095.0,867
2.7,8,256GB SSD,1.37,1950.0,868
2.5,8,256GB SSD,1.56,902.0,869
2.8,8,1TB HDD,2.23,1778.0,870
2.5,4,500GB HDD,2.38,1055.0,871
2.0,4,1TB HDD,2.2,479.0,872
2.7,8,256GB SSD,2.0,1388.0,873
2.4,4,180GB SSD,1.44,735.0,874
2.7,16,256GB SSD,1.23,1849.0,875
2.8,8,256GB SSD,1.6,1690.0,876
1.1,4,1TB HDD,2.0,398.99,877
2.3,8,256GB SSD,1.28,935.0,878
2.5,4,128GB SSD +  1TB HDD,2.18,912.5,879
2.5,4,256GB SSD,2.04,839.0,880
2.5,4,256GB SSD,1.28,1700.0,881
2.5,4,500GB HDD,2.3,684.8,882
1.1,4,32GB Flash Storage,1.65,348.0,883
2.5,8,1TB HDD,2.2,669.0,884
1.6,4,500GB HDD,2.2,369.0,885
2.5,4,256GB SSD,1.28,1799.0,886
2.0,4,1TB HDD,2.18,455.7,887
2.5,12,128GB SSD +  1TB HDD,2.2,1369.9,888
1.6,4,32GB Flash Storage,1.25,297.0,889
2.2,4,500GB HDD,2.8,379.0,890
2.5,4,128GB SSD,1.95,1265.0,891
2.7,16,256GB SSD,1.42,1399.0,892
2.7,8,256GB SSD,1.17,1699.0,893
2.5,8,256GB SSD,1.32,1799.0,894
2.6,16,512GB SSD +  2TB HDD,2.43,2649.0,895
2.5,8,256GB SSD,1.05,1475.0,896
2.8,8,1TB HDD,2.62,929.0,897
2.7,8,1TB HDD,2.04,900.0,898
2.0,4,1TB HDD,2.18,614.0,899
2.6,8,500GB HDD,1.9,935.0,900
1.3,8,512GB SSD,1.24,2013.1,901
2.7,32,256GB SSD +  256GB SSD,3.58,1279.0,902
1.3,16,256GB SSD,1.22,1649.0,903
2.7,8,256GB Flash Storage,1.13,2049.0,904
2.5,8,512GB SSD,1.95,1962.99,905
2.7,16,512GB SSD,1.08,2099.0,906
2.7,8,512GB SSD,1.26,1483.0,907
1.5,4,16GB Flash Storage,2.2,359.0,908
2.3,8,128GB SSD +  1TB HDD,2.6,789.0,909
2.7,8,512GB SSD,0.98,1899.0,910
2.8,8,256GB SSD,1.6,1205.0,911
1.2,8,240GB SSD,1.09,3100.0,912
2.7,6,256GB SSD,2.2,789.0,913
2.7,8,256GB SSD,2.04,1018.99,914
2.4,4,1TB HDD,2.4,499.0,915
2.5,4,128GB SSD,1.44,881.0,916
2.5,8,256GB SSD,1.49,960.0,917
2.8,16,256GB SSD +  1TB HDD,2.7,1599.0,918
2.8,16,128GB SSD +  1TB HDD,2.6,1349.0,919
2.5,8,128GB SSD +  1TB HDD,2.2,1119.91,920
2.5,4,1TB HDD,2.18,684.99,921
2.5,8,256GB SSD,1.84,1296.99,922
2.7,8,256GB SSD,1.39,1149.0,923
2.6,16,256GB SSD,2.4,1975.0,924
2.5,8,512GB SSD,1.37,1825.0,925
2.3,4,500GB HDD,1.95,729.9,926
2.7,8,256GB SSD,1.36,1650.0,927
2.3,8,256GB SSD,2.31,1165.0,928
2.5,4,1TB HDD,2.18,708.06,929
2.3,4,500GB HDD,1.95,1149.0,930
1.1,4,1TB HDD,2.2,309.0,931
2.3,4,500GB HDD,1.26,1579.0,932
1.6,4,1TB HDD,1.86,288.9,933
2.2,16,1TB SSD,1.3,1799.0,934
2.3,4,128GB SSD,1.47,1105.0,935
2.3,8,256GB SSD,1.26,1669.0,936
2.0,4,1TB HDD,2.18,558.6,937
2.8,8,128GB SSD +  1TB HDD,2.2,1199.0,938
2.5,8,256GB SSD,1.36,1639.0,939
2.7,16,512GB SSD +  1TB HDD,4.36,2758.0,940
2.3,8,128GB SSD +  1TB HDD,2.75,1399.0,941
1.6,4,1TB HDD,2.8,530.0,942
2.5,4,500GB HDD,2.23,619.0,943
2.3,8,256GB SSD,2.2,1119.0,944
1.2,8,256GB SSD,1.1,1299.0,945
2.1,16,512GB SSD +  1TB HDD,2.5,999.0,946
2.5,8,256GB SSD,1.36,1472.2,947
2.7,8,1TB HDD,2.2,685.0,948
2.0,4,1TB HDD,2.36,659.0,949
1.6,4,32GB Flash Storage,1.68,349.0,950
2.7,8,8GB SSD,2.0,2249.0,951
2.8,8,256GB SSD,1.36,1775.0,952
2.3,8,256GB SSD,1.2,1460.0,953
1.2,8,64GB Flash Storage,1.2,1159.0,954
2.6,8,256GB SSD,1.7,1488.99,955
2.8,16,512GB SSD +  1TB HDD,4.36,3154.0,956
1.2,8,256GB SSD,1.24,1899.0,957
1.1,4,256GB SSD,1.45,775.0,958
2.5,8,256GB SSD,1.3,1268.0,959
1.6,4,32GB Flash Storage,1.25,389.0,960
2.4,8,256GB SSD,1.2,1535.0,961
2.6,8,256GB SSD,1.36,1760.0,962
2.5,12,128GB SSD +  1TB HDD,2.4,1009.0,963
2.7,8,512GB SSD,1.1,1790.0,964
2.5,8,1TB HDD,2.04,846.5,965
2.0,4,1TB HDD,2.25,465.62,966
2.5,4,500GB HDD,1.9,825.0,967
2.4,4,500GB HDD,2.04,685.0,968
2.8,32,256GB SSD +  1TB HDD,4.42,3149.0,969
2.5,6,256GB SSD,2.4,695.0,970
1.3,16,512GB SSD,1.22,1899.0,971
2.6,8,256GB SSD,1.5,1962.98,972
2.6,32,256GB SSD +  1TB HDD,4.42,2800.0,973
2.3,8,256GB SSD,1.95,1180.0,974
2.8,16,256GB SSD +  1TB HDD,2.73,2049.9,975
2.7,8,128GB SSD +  1TB HDD,2.04,979.0,976
2.3,4,508GB Hybrid,1.7,1002.0,977
2.7,16,512GB SSD +  2TB HDD,2.3,1799.0,978
2.7,6,1TB HDD,2.04,579.0,979
2.8,16,256GB SSD +  1TB HDD,2.99,1749.0,980
2.7,12,512GB SSD,2.19,1299.0,981
2.3,4,128GB SSD,1.2,1195.0,982
3.6,6,256GB SSD,2.2,549.0,983
2.3,4,256GB SSD,2.3,649.0,984
2.3,4,500GB HDD,1.75,915.0,985
2.5,4,500GB HDD,2.25,599.0,986
2.5,8,1TB HDD,2.04,806.0,987
2.8,8,128GB SSD +  1TB HDD,2.5,1189.0,988
2.7,8,1TB HDD,2.36,749.0,989
2.5,8,128GB SSD,1.6,1119.0,990
1.2,8,512GB SSD,0.97,1908.0,991
2.0,4,128GB SSD +  1TB HDD,2.1,499.0,992
1.1,4,128GB SSD,1.9,270.62,993
2.3,8,256GB SSD,2.3,1349.0,994
2.5,8,256GB SSD,1.68,889.0,995
2.5,8,256GB SSD,1.4,1150.0,996
2.7,8,256GB SSD,1.11,1349.0,997
1.1,4,500GB HDD,2.4,380.0,998
2.8,16,256GB SSD +  1TB HDD,2.5,1799.0,999
2.7,8,512GB SSD,1.48,2089.0,1000
2.8,8,128GB SSD +  1TB HDD,2.7,1260.0,1001
2.5,8,256GB SSD,1.34,1189.0,1002
2.4,4,128GB SSD,2.18,547.0,1003
2.5,4,500GB HDD,1.64,779.0,1004
2.3,4,128GB SSD,1.2,1195.0,1005
2.4,4,256GB SSD,1.48,1099.99,1006
2.5,4,256GB SSD,1.95,1205.0,1007
2.6,8,256GB SSD,1.43,1449.0,1008
2.5,8,256GB SSD,1.64,1049.26,1009
2.4,4,500GB HDD,1.64,684.0,1010
2.5,8,1.0TB Hybrid,2.65,949.0,1011
2.5,4,500GB HDD,1.26,1539.0,1012
2.5,4,256GB SSD,1.48,1590.0,1013
2.5,8,256GB SSD,1.54,1887.21,1014
2.4,4,500GB HDD,1.49,800.0,1015
2.3,8,256GB SSD,1.5,1210.0,1016
2.4,4,256GB SSD,2.04,769.99,1017
2.7,16,512GB SSD,2.4,2968.0,1018
2.3,8,256GB SSD,1.47,1490.0,1019
2.5,8,256GB SSD,1.43,2229.0,1020
2.3,4,1TB HDD,2.08,795.99,1021
2.3,8,256GB SSD,1.2,1590.0,1022
2.5,8,256GB SSD,1.11,1149.0,1023
2.7,8,256GB SSD,1.64,1185.43,1024
2.4,8,500GB HDD,2.09,1046.44,1025
2.5,4,256GB SSD,1.26,1559.0,1026
2.5,4,500GB HDD,2.31,1189.0,1027
2.5,4,500GB HDD,1.95,1060.0,1028
2.5,8,256GB SSD,1.29,1624.0,1029
2.5,8,256GB SSD,2.63,1080.0,1030
2.5,4,256GB SSD,1.64,973.0,1031
3.0,6,1TB HDD,2.1,409.0,1032
2.8,8,128GB SSD +  1TB HDD,2.7,1191.8,1033
2.3,8,256GB SSD,1.95,1195.0,1034
2.5,8,256GB SSD,1.84,1228.99,1035
2.5,8,256GB SSD,1.26,1349.0,1036
2.5,4,500GB HDD,2.04,742.0,1037
2.6,8,256GB SSD,1.47,1725.0,1038
2.4,8,256GB SSD,2.09,1062.95,1039
2.5,8,256GB SSD,1.64,1010.51,1040
2.5,4,256GB SSD,1.8,847.0,1041
1.44,2,32GB Flash Storage,1.45,210.8,1042
2.5,16,256GB SSD,2.4,1425.0,1043
2.3,8,256GB SSD,2.3,1049.6,1044
2.3,4,500GB HDD,1.54,1000.0,1045
2.4,8,256GB SSD +  500GB HDD,1.84,2103.34,1046
2.3,8,256GB SSD,1.43,1469.0,1047
2.7,16,256GB SSD +  1TB HDD,3.78,1545.64,1048
2.6,16,128GB SSD +  1TB HDD,4.6,2289.99,1049
1.6,4,16GB Flash Storage,1.2,287.9,1050
2.6,16,256GB SSD,1.1,2620.0,1051
2.7,8,1TB HDD,1.91,979.0,1052
2.7,8,256GB SSD,2.3,1094.0,1053
2.5,4,256GB SSD,2.04,979.0,1054
2.7,16,1TB SSD,1.2,2254.0,1055
2.3,4,500GB HDD,2.31,705.15,1056
2.5,4,500GB HDD,1.96,499.0,1057
2.2,8,1TB HDD,2.4,449.0,1058
2.7,12,256GB SSD,1.6,1299.0,1059
2.6,16,256GB SSD +  1TB HDD,2.94,1819.0,1060
2.7,8,256GB SSD,2.04,1070.0,1061
2.6,16,1TB HDD,4.0,998.0,1062
2.5,4,1TB HDD,2.25,559.0,1063
2.7,16,2TB HDD,2.32,989.99,1064
2.6,16,256GB SSD +  1TB HDD,1.8,1929.0,1065
2.7,8,256GB SSD,1.29,1458.0,1066
2.7,64,1TB SSD,3.58,3975.0,1067
2.5,8,256GB SSD,1.62,798.01,1068
2.6,16,256GB SSD +  1TB HDD,3.21,1329.0,1069
1.1,8,256GB Flash Storage,0.92,1300.0,1070
2.3,4,500GB HDD,2.06,481.98,1071
2.3,4,500GB HDD,2.31,1199.0,1072
2.3,8,256GB SSD,1.26,1199.0,1073
2.7,8,256GB SSD,1.49,1090.0,1074
2.5,8,256GB SSD,1.3,1713.49,1075
2.3,8,1.0TB HDD,3.0,659.0,1076
2.3,4,1TB HDD,2.3,977.0,1077
2.8,16,256GB SSD +  1TB HDD,3.78,2499.0,1078
2.3,4,500GB HDD,2.1,540.0,1079
2.3,4,500GB HDD,2.31,940.0,1080
1.2,8,512GB SSD,0.99,1399.0,1081
2.7,32,512GB SSD +  1.0TB Hybrid,4.6,3240.0,1082
1.44,4,64GB Flash Storage,0.69,646.27,1083
2.7,16,512GB SSD,1.3,2049.0,1084
2.5,8,256GB SSD,2.18,750.0,1085
2.3,4,500GB HDD,1.54,1030.99,1086
2.5,8,256GB SSD,1.9,1495.0,1087
2.3,8,180GB SSD,1.7,1199.0,1088
1.5,4,32GB Flash Storage,1.29,615.0,1089
2.2,4,500GB HDD,2.4,387.0,1090
1.6,4,500GB HDD,2.2,393.49,1091
2.0,4,1TB HDD,1.86,345.99,1092
2.8,8,256GB SSD +  1TB HDD,2.7,1599.0,1093
1.6,4,256GB SSD,1.4,818.35,1094
2.3,4,128GB SSD,2.4,1599.0,1095
2.5,8,256GB SSD +  1TB HDD,2.4,799.0,1096
2.5,8,1TB HDD,2.36,638.8,1097
2.6,8,256GB SSD,2.6,1599.0,1098
1.6,4,1TB HDD,1.96,500.0,1099
2.6,16,128GB SSD +  1TB HDD,4.3,2299.0,1100
2.3,4,500GB HDD,1.5,1135.15,1101
2.3,4,128GB SSD,1.5,1166.97,1102
1.5,4,16GB SSD,2.2,209.0,1103
2.6,8,1TB HDD,3.0,2899.0,1104
2.8,16,512GB SSD,2.4,1199.0,1105
2.3,8,256GB SSD,1.5,1413.1,1106
2.6,8,128GB SSD +  1TB HDD,2.9,1511.19,1107
2.3,4,256GB SSD,2.1,867.0,1108
2.5,4,1TB HDD,2.1,398.0,1109
2.6,16,128GB SSD +  1TB HDD,2.59,1339.0,1110
1.1,8,256GB SSD,1.16,1699.0,1111
