Company,Product,TypeName,ScreenResolution,CPU_Company,CPU_Type,GPU_Company,GPU_Type,OpSys,Laptop_ID
Dell,Inspiron 7577,Gaming,IPS Panel 4K Ultra HD 3840x2160,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,201
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,1366x768,Intel,Core i5 6200U,Intel,HD Graphics 520,Windows 10,202
Acer,Aspire E5-576G,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,203
Lenovo,Legion Y720-15IKB,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,204
Dell,Precision 7520,Workstation,4K Ultra HD 3840x2160,Intel,Xeon E3-1505M V6,Nvidia,Quadro M1200,Windows 10,205
Lenovo,Legion Y520-15IKBN,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,No OS,206
Dell,Inspiron 3567,Notebook,Touchscreen 1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,207
Dell,XPS 13,Ultrabook,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,208
Dell,XPS 13,Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,209
Lenovo,IdeaPad 320-15IKBN,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,210
Acer,Aspire 7,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Linux,211
Asus,ROG GL703VD-GC028T,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,212
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,213
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,No OS,214
Huawei,MateBook X,Ultrabook,IPS Panel Full HD 2160x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,215
Dell,Inspiron 5370,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,216
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i5 7200U,Nvidia,GeForce GTX 940MX,No OS,217
HP,Probook 440,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 930MX,Windows 10,218
Dell,Latitude 5490,Ultrabook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,219
Dell,Inspiron 5379,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,220
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 520,Linux,221
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,222
Toshiba,Portege Z30-C-16L,Ultrabook,Full HD 1920x1080,Intel,Core i7 6500U,Intel,HD Graphics 520,Windows 10,223
HP,ProBook 450,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,224
Dell,Alienware 17,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,225
Acer,Aspire E5-576G,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,226
Dell,Inspiron 5567,Notebook,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,AMD,Radeon R7 M445,Windows 10,227
Asus,Vivobook X541UV-DM1217T,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 920MX,Windows 10,228
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce GTX 950M,Windows 10,229
HP,ZBook 15u,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,FirePro W4190M,Windows 10,230
Asus,Pro P2540UA-XO0198T,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,231
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,1366x768,AMD,E-Series 9000e,AMD,Radeon R2,Windows 10,232
Lenovo,Legion Y720-15IKB,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,233
Dell,Vostro 5468,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,234
Acer,Aspire R7,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 6200U,Intel,HD Graphics 520,Windows 10,235
Dell,Inspiron 5567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R7 M445,Linux,236
Acer,Aspire A315-51,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Linux,237
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,Full HD 1920x1080,AMD,A10-Series A10-9620P,AMD,Radeon R5 M430,Windows 10,238
Asus,ROG G703VI-E5062T,Gaming,Full HD 1920x1080,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1080,Windows 10,239
Acer,Nitro AN515-51,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,240
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,241
Asus,VivoBook Pro,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 150MX,Windows 10,242
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce GTX 950M,No OS,243
Dell,Inspiron 5577,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,244
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,245
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,246
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,Touchscreen 1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,247
Asus,Rog G701VIK-BA060T,Gaming,Full HD 1920x1080,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1080,Windows 10,248
HP,ProBook 430,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,249
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Plus Graphics 650,macOS,250
Dell,Inspiron 5579,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,251
Asus,ROG G752VSK-GC493T,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 980M,Windows 10,252
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5 M420,Windows 10,253
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,254
Acer,Aspire 5,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,Nvidia,GeForce MX130,Windows 10,255
Dell,Vostro 5370,Ultrabook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,256
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,1366x768,AMD,A6-Series A6-9220,AMD,Radeon R4 Graphics,Windows 10,257
HP,Envy 17-U275cl,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,258
MSI,GT73EVR 7RE,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,259
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050M,Windows 10,260
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,261
Lenovo,IdeaPad 320-15ISK,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,262
HP,ProBook 450,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,HD Graphics 620,Windows 10,263
Dell,Vostro 3568,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,264
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,Radeon R5 M430,Windows 10,265
Dell,Inspiron 5579,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,266
Asus,ZenBook Flip,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,267
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,No OS,268
HP,Probook 470,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 930MX,Windows 10,269
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,270
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Graphics 550,macOS,271
Asus,Rog Strix,Gaming,Full HD 1920x1080,AMD,Ryzen 1700,AMD,Radeon RX 580,Windows 10,272
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 520,Linux,273
Lenovo,ThinkPad X1,2 in 1 Convertible,Touchscreen 2560x1440,Intel,Core i7 6600U,Intel,HD Graphics 520,Windows 10,274
Toshiba,Satellite Pro,Notebook,1366x768,Intel,Core i7 6500U,Nvidia,GeForce 930M,Windows 10,275
Dell,Inspiron 5567,Notebook,1366x768,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,276
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Linux,277
Acer,Aspire A515-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX130,Windows 10,278
Lenovo,IdeaPad 320-17ISK,Notebook,1600x900,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,279
Lenovo,IdeaPad 320-17IKBR,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,No OS,280
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,281
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,AMD,Radeon R5 M430,Linux,282
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,283
Lenovo,Ideapad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,284
Acer,Aspire A517-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,285
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,286
Lenovo,Thinkpad T570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 630,Windows 10,287
Asus,VivoBook S15,Ultrabook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Windows 10,288
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,289
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,No OS,290
Acer,Chromebook C910-C2ST,Notebook,1366x768,Intel,Celeron Dual Core 3205U,Intel,HD Graphics,Chrome OS,291
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,292
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,1600x900,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,293
Dell,XPS 15,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,294
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,295
Lenovo,Legion Y720-15IKB,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,296
Acer,Aspire A715-71G,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Linux,297
Dell,Precision 7720,Workstation,Full HD 1920x1080,Intel,Core i7 7820HQ,Nvidia,Quadro M1200,Windows 10,298
Lenovo,IdeaPad 310-15ABR,Notebook,Full HD 1920x1080,AMD,A10-Series 9600P,AMD,Radeon R5 430,Windows 10,299
Asus,ZenBook UX530UQ-PRO,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,300
Asus,VivoBook S14,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,301
Asus,Rog GL702VS-GC095T,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,302
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i5 7200U,Nvidia,GeForce GTX 940M,Windows 10,303
Lenovo,IdeaPad 320-15IKBN,Notebook,1366x768,Intel,Core i5 7200U,Nvidia,GeForce 940MX,No OS,304
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,305
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel,Pentium Quad Core N4200,Intel,HD Graphics 505,No OS,306
HP,EliteBook x360,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 7600U,Intel,HD Graphics 620,Windows 10,307
Toshiba,Satellite Pro,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,Nvidia,GeForce 930M,Windows 10,308
Lenovo,IdeaPad 320-15IKB,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Windows 10,309
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,310
Lenovo,IdeaPad 720S-13IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,311
Dell,XPS 13,Ultrabook,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,312
MSI,GE63VR 7RF,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,313
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,AMD,A8-Series 7410,AMD,Radeon R5,Windows 10,314
Asus,VivoBook Flip,2 in 1 Convertible,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,315
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,316
HP,Spectre x360,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,317
Lenovo,ThinkPad 13,Notebook,1366x768,Intel,Celeron Dual Core 3855U,Intel,HD Graphics 510,Chrome OS,318
HP,ProBook 640,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,319
Acer,TravelMate B,Notebook,1366x768,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405,Windows 10,320
HP,Elitebook 840,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,321
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i5 7200U,Nvidia,GeForce 920MX,Windows 10,322
Asus,ZenBook UX410UA-GV183T,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,323
HP,ProBook 450,Notebook,IPS Panel Full HD 1366x768,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,324
Acer,Aspire 5,Notebook,1366x768,AMD,A12-Series 9720P,AMD,Radeon RX 540,Windows 10,325
Lenovo,IdeaPad 120S-14IAP,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,326
Acer,Aspire E5-575,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,327
Asus,VivoBook S15,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,328
HP,Elitebook 820,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,329
Dell,XPS 15,Notebook,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,330
MSI,GL72M 7REX,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,331
Toshiba,Satellite Pro,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,332
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,333
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,334
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,335
HP,EliteBook 840,Notebook,Full HD 1920x1080,Intel,Core i5 7300U,Intel,HD Graphics 620,Windows 10,336
Dell,Inspiron 7570,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 940MX,Windows 10,337
HP,Elitebook 850,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,338
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Linux,339
Dell,Inspiron 7570,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 940MX,Windows 10,340
Dell,Inspiron 3552,Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics,Linux,341
Lenovo,IdeaPad 320-15ABR,Notebook,Full HD 1920x1080,AMD,A12-Series 9720P,AMD,Radeon 530,Windows 10,342
HP,ProBook 450,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,Nvidia,GeForce 930MX,Windows 10,343
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,344
Dell,XPS 13,Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,345
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,346
HP,Stream 14-AX001nv,Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Windows 10,347
Dell,Latitude 5590,Ultrabook,Full HD 1920x1080,Intel,Core i7 8650U,Intel,UHD Graphics 620,Windows 10,348
Asus,VivoBook Flip,2 in 1 Convertible,Touchscreen 1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,349
Dell,Inspiron 5570,Ultrabook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,350
Dell,XPS 15,Notebook,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,351
HP,Elitebook 850,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,352
MSI,GP72MVR 7RFX,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,353
HP,Zbook 15,Workstation,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,Quadro M1200,Windows 10,354
Toshiba,Tecra A50-C-21G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 6500U,Nvidia,GeForce 930M,Windows 10,355
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,356
Lenovo,IdeaPad 320-15IAP,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,No OS,357
Dell,Inspiron 7577,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,358
Dell,Inspiron 3567,Notebook,Touchscreen 1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,359
Dell,Latitude 7480,Notebook,Full HD 1920x1080,Intel,Core i5 7300U,Intel,HD Graphics 620,Windows 10,360
HP,250 G6,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,361
Asus,Zenbook UX410UA-GV027T,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,362
Lenovo,IdeaPad 320-17IKB,Notebook,1600x900,Intel,Core i5 7200U,Nvidia,GeForce GTX 940MX,Windows 10,363
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,364
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel,Core i3 6006U,Nvidia,GeForce 920MX,No OS,365
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,1366x768,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405,Windows 10,366
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 530,Windows 10,367
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,No OS,368
Dell,Inspiron 5567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R7 M445,Windows 10,369
HP,Elitebook 1040,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,370
Asus,ZenBook Flip,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce GT 940MX,Windows 10,371
Acer,Aspire 3,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5,Windows 10,372
Asus,Rog Strix,Gaming,IPS Panel Full HD 1920x1080,AMD,Ryzen 1700,AMD,Radeon RX 580,Windows 10,373
Lenovo,IdeaPad 110-17ACL,Notebook,1600x900,AMD,A8-Series 7410,AMD,Radeon R5,Windows 10,374
Dell,Inspiron 5379,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,375
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,AMD,A9-Series 9420,AMD,Radeon R5,Windows 10,376
Lenovo,Yoga 11e,Netbook,IPS Panel 1366x768,Intel,Celeron Quad Core N3450,Intel,HD Graphics 500,Windows 10,377
Dell,Inspiron 3552,Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Windows 10,378
Asus,VivoBook E403NA,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,379
Acer,Aspire 7,Notebook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Linux,380
HP,Omen 17-w212nv,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,381
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,382
Asus,ROG Strix,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,383
Lenovo,IdeaPad 720S-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Windows 10,384
Asus,Zenbook Flip,Ultrabook,Full HD / Touchscreen 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,385
Lenovo,Thinkpad X1,Ultrabook,IPS Panel 2560x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,386
Lenovo,Ideapad 510S-13IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,387
Dell,Precision 3510,Workstation,Full HD 1920x1080,Intel,Core i5 6440HQ,AMD,FirePro W5130M,Windows 10,388
Dell,Precision 5520,Workstation,IPS Panel Full HD 1920x1080,Intel,Core i7 6820HQ,Nvidia,Quadro M1200,Windows 10,389
Lenovo,ThinkPad X1,2 in 1 Convertible,Touchscreen 2560x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,390
Asus,Rog GL753VD-GC042T,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,391
Asus,Rog GL753VE-GC070T,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,392
Acer,Aspire 5,Notebook,IPS Panel 1366x768,Intel,Core i5 8250U,Nvidia,GeForce MX130,Windows 10,393
MSI,Leopard GP72M,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,394
Dell,Inspiron 5567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R7 M445,Linux,395
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,Full HD 1920x1080,AMD,A9-Series 9420,AMD,Radeon 520,Windows 10,396
Lenovo,ThinkPad E580,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon RX 550,Windows 10,397
Lenovo,ThinkPad L470,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,398
